ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
232024_at	GIMAP2	"GTPase, IMAP family member 2"	-1.659	2.761
232028_at	ZNF678	zinc finger protein 678	-1.314	3.337
232035_at	HIST1H4H	"histone cluster 1, H4h"	-2.188	3.046
232053_x_at	RHBDD2	rhomboid domain containing 2	-2.245	8.874
232060_at	ROR1	receptor tyrosine kinase like orphan receptor 1	1.024	4.281
232065_x_at	CENPL	centromere protein L	-1.812	13.263
232066_x_at	CTBP1-AS2	CTBP1 antisense RNA 2 (head to head)	2.216	11.019
232067_at	FAXC	failed axon connections homolog	-2.013	3.631
232069_at	KIF26A	kinesin family member 26A	1.503	10.254
232077_s_at	YPEL3	yippee like 3	1.695	8.338
232078_at	NECTIN2	nectin cell adhesion molecule 2	-3.965	14.7
232079_s_at	NECTIN2	nectin cell adhesion molecule 2	-3.442	15.405
232083_at	KIF16B	kinesin family member 16B	-1.385	2.757
232088_x_at	LINC00899	long intergenic non-protein coding RNA 899	1.884	7.493
232094_at	KATNBL1	katanin regulatory subunit B1 like 1	-1.477	3.016
232095_at			-1.196	3.376
232098_at	DST	dystonin	2.14	9.067
232103_at	BPNT1	"3'(2'), 5'-bisphosphate nucleotidase 1"	-1.529	6.824
232113_at			3.191	10.945
232120_at			1.399	2.523
232125_at	ZBTB20	zinc finger and BTB domain containing 20	1.029	2.244
232135_at	SAP30L	SAP30 like	1.043	3.906
232149_s_at	NSMAF	neutral sphingomyelinase activation associated factor	-1.758	5.832
232151_at	MACC1	metastasis associated in colon cancer 1	-1.677	2.322
232164_s_at	EPPK1	epiplakin 1	-4.127	10.125
232165_at	EPPK1	epiplakin 1	-3.076	7.798
232166_at	CEP126	centrosomal protein 126	2.381	7.556
232180_at	UGP2	UDP-glucose pyrophosphorylase 2	1.444	8.268
232204_at	EBF1	early B-cell factor 1	2.845	8.787
232205_at			1.001	3.073
232210_at			3.552	8.988
232216_at	YME1L1	YME1 like 1 ATPase	-2.318	8.268
232219_x_at	USP21	ubiquitin specific peptidase 21	-2.736	10.183
232230_at	OLMALINC	oligodendrocyte maturation-associated long intergenic non-coding RNA	-1.351	3.562
232231_at	RUNX2	runt related transcription factor 2	-1.824	3.322
232235_at	DSEL	dermatan sulfate epimerase-like	2.544	8.891
232247_at	ZNF502	zinc finger protein 502	2.002	9.528
232256_s_at	LINC00997	long intergenic non-protein coding RNA 997	1.281	7.526
232269_x_at	METRN	"meteorin, glial cell differentiation regulator"	-1.065	1.639
232274_at	CCNL2	cyclin L2	1.179	7.29
232277_at	SLC28A3	solute carrier family 28 member 3	2.109	1.765
232278_s_at	DEPDC1	DEP domain containing 1	-1.815	3.093
232279_at	JADE2	jade family PHD finger 2	1.478	6.562
232286_at			2.241	1.962
232290_at			-1.04	1.737
232291_at	MIR17HG///MIR92A1///MIR20A///MIR19B1///MIR19A///MIR18A///MIR17	miR-17-92a-1 cluster host gene///microRNA 92a-1///microRNA 20a///microRNA 19b-1///microRNA 19a///microRNA 18a///microRNA 17	1.366	3.442
232296_s_at	GFM1	G elongation factor mitochondrial 1	-1.526	8.42
232312_at	PPP6R3	protein phosphatase 6 regulatory subunit 3	-2.152	7.993
232313_at	TMEM132C	transmembrane protein 132C	2.946	9.739
232317_at	PLXNA4	plexin A4	1.54	3.155
232333_at			2.534	10.795
232338_at	ZNF431	zinc finger protein 431	-1.057	3.018
232355_at	SNORD114-3	"small nucleolar RNA, C/D box 114-3"	1.011	1.92
232356_at			-1.109	5.741
232360_at	EHF	ETS homologous factor	1.728	2.421
232365_at	SIAH1	siah E3 ubiquitin protein ligase 1	-1.125	5.431
232369_at			1.222	2.623
232372_at			-1.938	9.129
232373_at	NOXA1	NADPH oxidase activator 1	1.041	6.736
232375_at			-2.317	5.751
232382_s_at	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	-1.437	4.948
232392_at	SRSF3	serine and arginine rich splicing factor 3	-3.28	15.246
232396_at			-1.618	7.891
232406_at	LOC105372526	uncharacterized LOC105372526	1.804	6.045
232412_at	FBXL20	F-box and leucine rich repeat protein 20	-2.116	2.97
232421_at	SCARB1	scavenger receptor class B member 1	1.176	7.246
232431_at	NR3C1	nuclear receptor subfamily 3 group C member 1	1.819	5.348
232432_s_at	SLC30A5	solute carrier family 30 member 5	-2.757	10.954
232447_at			1.501	11.825
232459_at			1.965	8.35
232472_at			-1.32	4.084
232473_at	LOC101928524	uncharacterized LOC101928524	1.408	3.031
232480_at	MIRLET7BHG	MIRLET7B host gene	1.36	7.552
232495_x_at			1.6	9.168
232502_at	LOC101927104///ENTPD1-AS1	uncharacterized LOC101927104///ENTPD1 antisense RNA 1	1.089	11.117
232510_s_at	DPP3	dipeptidyl peptidase 3	-2.777	15.388
232523_at	MEGF10	multiple EGF like domains 10	1.577	2.374
232527_at	PSMD6-AS2	PSMD6 antisense RNA 2	1.26	9.719
232538_at			5.549	23.138
232540_x_at			2.272	13.162
232541_at			2.849	3.553
232547_at	SRCIN1	SRC kinase signaling inhibitor 1	-1.132	1.676
232555_at	CREB5	cAMP responsive element binding protein 5	1.267	2.845
232567_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	-2.115	4.171
232569_at			-1.068	3.535
232570_s_at	ADAM33	ADAM metallopeptidase domain 33	1.9	16.111
232584_at			2.725	5.676
232591_s_at	TMEM30A	transmembrane protein 30A	-4.442	17.422
232592_at			1.237	6.658
232593_at	NEURL3	neuralized E3 ubiquitin protein ligase 3	1.627	9.6
232612_s_at	ATG16L1	autophagy related 16 like 1	-1.904	10.407
232614_at			3.098	9.863
232628_at			1.51	2.755
232643_at	POLR2F	RNA polymerase II subunit F	1.04	9.484
232644_x_at	OCIAD1	OCIA domain containing 1	1.205	14.52
232659_at			1.182	3.752
232662_x_at	FAM213A	family with sequence similarity 213 member A	1.142	2.34
232663_s_at	UBAP1L	ubiquitin associated protein 1 like	1.063	7.575
232676_x_at	MYEF2	myelin expression factor 2	-1.185	4.922
232682_at	MREG	melanoregulin	-2.695	10.718
232693_s_at	FBXO16///ZNF395	F-box protein 16///zinc finger protein 395	1.797	5.33
232696_at			1.211	4.18
232712_at			1.838	10.511
232744_x_at			-2.474	8.968
232750_at	LOC105373878	uncharacterized LOC105373878	1.32	6.385
232797_at			-1.98	10.85
232800_at			3.793	14.673
232802_at	SYT8	synaptotagmin 8	1.409	5.635
232805_at			-1.237	1.7
232811_x_at	PRICKLE1	prickle planar cell polarity protein 1	1.644	7.696
232812_at	LOC401052	uncharacterized LOC401052	2.631	8.673
232852_at			2.766	13.871
232855_at			1.074	5.465
232883_at			-1.387	5.115
232898_at	DAB2	"DAB2, clathrin adaptor protein"	-1.295	2.167
232902_s_at	RARS2	"arginyl-tRNA synthetase 2, mitochondrial"	-2.304	8.97
232903_at			1.127	3.516
232911_at	ZFP14	ZFP14 zinc finger protein	1.298	10.718
232914_s_at	SYTL2	synaptotagmin like 2	-1.173	1.857
232929_at	ZBTB20	zinc finger and BTB domain containing 20	2.089	6.245
232935_at			1.725	3.313
232944_at			1.743	6.638
232951_at			2.569	15.453
232952_at			-1.25	4.631
232953_at	LINC00266-1	long intergenic non-protein coding RNA 266-1	2.328	10.597
232963_at			-1.415	10.631
232964_at	SPDYE2B///SPDYE6///SPDYE5///SPDYE2///SPDYE1	speedy/RINGO cell cycle regulator family member E2B///speedy/RINGO cell cycle regulator family member E6///speedy/RINGO cell cycle regulator family member E5///speedy/RINGO cell cycle regulator family member E2///speedy/RINGO cell cycle regulator family member E1	2.275	12.913
232994_s_at	ARHGEF28	Rho guanine nucleotide exchange factor 28	1.326	2.897
232997_at			-1.972	3.676
233011_at	ANXA1	annexin A1	2.92	6.492
233013_x_at	WAC-AS1	WAC antisense RNA 1 (head to head)	-1.084	7.204
233073_at			2.024	5.934
233078_at	API5	apoptosis inhibitor 5	-1.002	3.146
233080_s_at	PRPF40A	pre-mRNA processing factor 40 homolog A	-2.064	13.745
233090_at			-1.386	1.907
233092_s_at			1.39	3.711
233103_at			2.066	19.064
233109_at	COL12A1	collagen type XII alpha 1 chain	-1.808	3.62
233110_s_at	BCL2L12	BCL2 like 12	-1.762	11.131
233130_at			1.199	4.937
233152_x_at			1.41	11.271
233177_s_at	PNKD	paroxysmal nonkinesigenic dyskinesia	-3.227	8.253
233208_x_at	CPSF2	cleavage and polyadenylation specific factor 2	-3.144	18.25
233248_at			-1.067	8.307
233252_s_at	STRBP	spermatid perinuclear RNA binding protein	-1.661	8.468
233255_s_at	BIVM	"basic, immunoglobulin-like variable motif containing"	-1.046	3.192
233257_at			1.05	4.031
233261_at	EBF1	early B-cell factor 1	1.926	6.894
233265_at			1.534	6.536
233270_x_at			1.209	6.91
233289_at			1.358	5.163
233292_s_at	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1	-1.335	4.654
233302_at			-1.058	1.835
233303_at			-3.415	15.633
233304_at	NFIB	nuclear factor I B	2.371	5.865
233307_x_at	MGST3	microsomal glutathione S-transferase 3	1.035	11.565
233313_at			1.354	10.315
233334_x_at	SLX1B-SULT1A4///SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3	"SLX1B-SULT1A4 readthrough (NMD candidate)///SLX1A-SULT1A3 readthrough (NMD candidate)///SLX1 homolog A, structure-specific endonuclease subunit///sulfotransferase family 1A member 4///SLX1 homolog B, structure-specific endonuclease subunit///sulfotransferase family 1A member 3"	-1.178	5.879
233337_s_at	SEZ6L2	seizure related 6 homolog like 2	-1.512	2.327
233354_at	ZNF426	zinc finger protein 426	1.221	6.282
233360_at	UBE2I	ubiquitin conjugating enzyme E2 I	1.217	4.338
233365_at			-1.116	2.83
233367_at			1.818	10.034
233383_at			1.116	11.574
233411_at			1.151	5.51
233442_at			1.369	4.861
233446_at	ONECUT2	one cut homeobox 2	-1.639	1.999
233449_at			1.514	4.377
233463_at	RASSF6	Ras association domain family member 6	2.113	3.719
233487_s_at	LRRC8A	leucine rich repeat containing 8 family member A	-1.122	5.162
233520_s_at	CMYA5	cardiomyopathy associated 5	2.229	10.327
233528_s_at	GATSL3	GATS protein like 3	-1.158	2.908
233540_s_at	CDK5RAP2	CDK5 regulatory subunit associated protein 2	1.248	4.806
233550_s_at	SLC4A11	solute carrier family 4 member 11	-1.05	1.653
233555_s_at	SULF2	sulfatase 2	-3.035	7.549
233557_s_at	MON1B	"MON1 homolog B, secretory trafficking associated"	-1.073	6.202
233558_s_at	TRAPPC11	trafficking protein particle complex 11	-2.859	10.912
233559_s_at	WDFY1	WD repeat and FYVE domain containing 1	-2.821	14.936
233587_s_at	SIPA1L2	signal induced proliferation associated 1 like 2	-2.827	6.914
233588_x_at	MIR6834///PFDN6	microRNA 6834///prefoldin subunit 6	-2.139	12.531
233607_at			1.096	1.828
233614_at			-1.519	4.739
233648_at			1.507	6.022
233651_s_at	MPND	MPN domain containing	-1.165	2.853
233658_at			1.039	4.375
233690_at			-1.838	4.526
233713_at			-2.26	7.332
233720_at	SORBS2	sorbin and SH3 domain containing 2	1.397	2.721
233732_at	LOC401320	uncharacterized LOC401320	-1.011	5.177
233750_s_at	TRMT1L	tRNA methyltransferase 1 like	-1.81	8.224
233757_x_at			2.168	10.012
233770_at			-1.55	4.462
233781_s_at	RIF1	replication timing regulatory factor 1	1.305	9.037
233810_x_at			3.772	15.728
233814_at	EFNA5	ephrin A5	-1.645	2.235
233817_at			2.671	21.532
233827_s_at	SUPT16H	"SPT16 homolog, facilitates chromatin remodeling subunit"	-1.637	5.514
233841_s_at	SUDS3	"SDS3 homolog, SIN3A corepressor complex component"	-1.872	7.5
233850_s_at	EBF4	early B-cell factor 4	1.069	6.661
233851_s_at	TOR3A	torsin family 3 member A	-2.396	12.792
233868_x_at	ADAM33	ADAM metallopeptidase domain 33	1.964	16.862
233873_x_at	MTPAP	mitochondrial poly(A) polymerase	-1.06	5.232
233874_at	SLAIN2	SLAIN motif family member 2	-2.271	8.456
233878_s_at	XRN2	5'-3' exoribonuclease 2	-3.817	16.489
233907_s_at	SERTAD4	SERTA domain containing 4	-1.418	3.063
233908_x_at			1.619	4.389
233919_s_at	HABP4	hyaluronan binding protein 4	1.705	11.256
233924_s_at	EXOC6	exocyst complex component 6	-1.034	2.858
233929_x_at	MIR6859-1///MIR6859-2///LOC101930154///LOC100288778///WASH1///WASH7P///WASH2P///WASH3P	microRNA 6859-1///microRNA 6859-2///WAS protein family homolog 6-like///WAS protein family homolog 1 pseudogene///WAS protein family homolog 1///WAS protein family homolog 7 pseudogene///WAS protein family homolog 2 pseudogene///WAS protein family homolog 3 pseudogene	1.433	8.156
233940_at			-1.042	4.149
233952_s_at	ZBTB21	zinc finger and BTB domain containing 21	-2.134	9.263
233970_s_at	TRMT6	tRNA methyltransferase 6	-2.104	8.524
233992_x_at	ZNF445	zinc finger protein 445	1.154	9.243
233997_at	LOC101930064///LOC100287166	collagen alpha-1(I) chain-like///uncharacterized LOC100287166	1.645	14.239
234000_s_at	HACD3	3-hydroxyacyl-CoA dehydratase 3	-2.917	9.326
234001_s_at	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	-1.068	4.227
234032_at			-2.591	8.682
234041_at			-1.17	2.674
234068_s_at	AP2A1	adaptor related protein complex 2 alpha 1 subunit	-1.131	5.069
234082_at	LOC100505874	uncharacterized LOC100505874	2.038	3.221
234088_at			1.389	3.077
234091_at			-1.402	3.777
234224_at			1.276	3.182
234243_at	RPF1	ribosome production factor 1 homolog	2.097	15.491
234260_at			-1.1	3.801
234269_at			-2.352	4.335
234276_at			-1.345	3.554
234282_at			1.504	4.801
234294_x_at	GATAD2A	GATA zinc finger domain containing 2A	-1.236	8.95
234295_at	DBR1	debranching RNA lariats 1	-1.189	5.223
234304_s_at	IPO11-LRRC70///IPO11	IPO11-LRRC70 readthrough///importin 11	-1.374	8.848
234307_s_at	KIF26A	kinesin family member 26A	2.019	5.969
234310_s_at	SUSD2	sushi domain containing 2	-1.433	3.912
234311_s_at	LOC101927446///GTPBP10	uncharacterized LOC101927446///GTP binding protein 10	-1.178	7.186
234312_s_at	ACSS2	acyl-CoA synthetase short-chain family member 2	1.779	6.279
234326_at			-1.105	4.497
234339_s_at	SNORD23///GLTSCR2	"small nucleolar RNA, C/D box 23///glioma tumor suppressor candidate region gene 2"	2.288	14.422
234351_x_at	TRPS1	transcriptional repressor GATA binding 1	-1.744	2.883
234354_x_at	ERBB2	erb-b2 receptor tyrosine kinase 2	-3.498	8.132
234366_x_at	IGLJ3///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1	-2.439	2.739
234405_s_at	PHAX	phosphorylated adaptor for RNA export	-1.493	9.186
234464_s_at	EME1	essential meiotic structure-specific endonuclease 1	-1.704	5.313
234478_at			1.124	8.331
234505_at			1.008	7.672
234560_at			-1.313	1.648
234562_x_at			1.333	8.617
234604_at			-1.749	3.809
234645_at			1.863	4.675
234660_s_at	DIS3	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"	-2.093	9.821
234675_x_at			3.001	30.28
234709_at	CAPN13	calpain 13	-2.6	3.114
234710_s_at	PARP6	poly(ADP-ribose) polymerase family member 6	-1.624	6.637
234723_x_at			1.517	13.223
234725_s_at	SEMA4B	semaphorin 4B	-1.09	2.577
234726_s_at	TMEM168	transmembrane protein 168	-1.772	6.386
234735_s_at	USP21	ubiquitin specific peptidase 21	-1.725	8.031
234753_x_at			1.764	12.87
234764_x_at	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1	-2.208	2.219
234785_at			-2.519	5.706
234863_x_at	FBXO5	F-box protein 5	-2.163	7.014
234884_x_at	CKAP2///IGLV@///IGLC1	cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1	-2.442	2.756
234915_s_at	DENR	density regulated re-initiation and release factor	-2.011	10.864
234936_s_at	CC2D2A	coiled-coil and C2 domain containing 2A	1.588	9.038
234942_s_at	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1	-2.746	13.402
234949_at	FRG1BP	"FSHD region gene 1 family member B, pseudogene"	2.048	11.543
234954_at			-1.551	12.735
234971_x_at	PLCD3	phospholipase C delta 3	1.351	13.358
234975_at	GSPT1	G1 to S phase transition 1	-2.394	11.389
234980_at	TMEM56	transmembrane protein 56	1.096	1.59
234982_at	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	-1.044	4.728
234983_at	C12orf49	chromosome 12 open reading frame 49	-1.732	9.064
234987_at	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	-1.095	3.645
234989_at	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)	-4.078	13.74
234991_at	ZXDC	ZXD family zinc finger C	-1.296	3.883
234992_x_at	ECT2	epithelial cell transforming 2	-1.999	7.361
234994_at	TMEM200A	transmembrane protein 200A	-1.764	2.957
235003_at	UHMK1	U2AF homology motif (UHM) kinase 1	-4.143	16.526
235005_at	DIS3L	DIS3 like exosome 3'-5' exoribonuclease	1.031	4.783
235013_at	SLC31A1	solute carrier family 31 member 1	-2.063	9.312
235017_s_at	CSRNP3	cysteine and serine rich nuclear protein 3	2.221	8.968
235019_at	CPM	carboxypeptidase M	1.619	3.092
235022_at	FAM210A	family with sequence similarity 210 member A	-2.085	10.469
235026_at	C12orf66	chromosome 12 open reading frame 66	-1.177	3.808
235044_at	CYYR1	cysteine and tyrosine rich 1	2.21	5.502
235045_at	RBM7	RNA binding motif protein 7	1.15	7.06
235048_at	FAM169A	family with sequence similarity 169 member A	1.181	1.95
235060_at	LOC100190986	uncharacterized LOC100190986	-4.662	16.899
235067_at	MKLN1	muskelin 1	-1.306	5.73
235075_at	DSG3	desmoglein 3	1.277	3.003
235076_at	CALCOCO2	calcium binding and coiled-coil domain 2	1.025	2.955
235077_at	MEG3	maternally expressed 3 (non-protein coding)	1.229	1.977
235084_x_at	TRIM38	tripartite motif containing 38	1.021	8.413
235085_at	SGK223	homolog of rat pragma of Rnd2	1.283	4.691
235089_at	FBXL20	F-box and leucine rich repeat protein 20	-1.742	2.116
235093_at	PEX13	peroxisomal biogenesis factor 13	-2.46	14.055
235096_at	LEO1	"LEO1 homolog, Paf1/RNA polymerase II complex component"	-2.809	7.915
235103_at	MAN2A1	mannosidase alpha class 2A member 1	-3.593	13.688
235113_at	LRR1	leucine rich repeat protein 1	-3.307	12.189
235117_at	CHAC2	ChaC cation transport regulator homolog 2	-2.878	10.693
235122_at	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	1.909	5.712
235124_at	EIF3J-AS1	EIF3J antisense RNA 1 (head to head)	1.168	7.432
235125_x_at	MIGA1	mitoguardin 1	1.054	5.934
235129_at	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	2.106	4.39
235136_at	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3	-4.091	5.247
235142_at	ZBTB8A	zinc finger and BTB domain containing 8A	-1.565	6.011
235152_at	LOC101927204	uncharacterized LOC101927204	-1.305	2.558
235157_at			-1.48	3.223
235158_at	TMEM209	transmembrane protein 209	-1.784	6.868
235165_at	PARD6B	par-6 family cell polarity regulator beta	-1.127	3.159
235167_at	LOC100190986	uncharacterized LOC100190986	-3.148	9.93
235168_at	PIGM	phosphatidylinositol glycan anchor biosynthesis class M	-1.663	5.898
235173_at	MBNL1-AS1	MBNL1 antisense RNA 1	1.227	5.129
235177_at	METTL21A	methyltransferase like 21A	-2.39	11.425
235182_at	ISM1	"isthmin 1, angiogenesis inhibitor"	1.882	3.52
235189_at	ICE2	interactor of little elongation complex ELL subunit 2	-1.452	4.562
235192_at	TP53RK	TP53 regulating kinase	-1.124	5.502
235197_s_at	OSTM1	osteopetrosis associated transmembrane protein 1	-1.304	3.549
235198_at	OSTM1	osteopetrosis associated transmembrane protein 1	-1.485	4.146
235201_at	FOXP2	forkhead box P2	2.863	8.118
235204_at	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	-1.005	6.057
235222_x_at	XIAP	X-linked inhibitor of apoptosis	-1.07	6.267
235229_at			-2.115	2.698
235234_at	PATL1	"PAT1 homolog 1, processing body mRNA decay factor"	-1.447	4.8
235235_s_at	PATL1	"PAT1 homolog 1, processing body mRNA decay factor"	-1.801	7.103
235236_at			3.054	11.234
235240_at	ATXN3	ataxin 3	1.729	12.538
235253_at	RAD1	RAD1 checkpoint DNA exonuclease	-1.975	8.547
235260_s_at	PACRGL	PARK2 coregulated like	-1.395	5.054
235263_at	STAG3L2///STAG3L3///STAG3L1	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///stromal antigen 3-like 1 (pseudogene)	-1.368	8.617
